customer,state,response,coverage,education,employment_status,location_code,policy,renew_offer_type,sales_channel,vehicle_class
UL64533,Nevada,No,Extended,High School or Below,Employed,Urban,Corporate,Offer 1-2,Direct,Luxury Car
PF41800,California,No,Basic,Bachelor or College,Unemployed,Urban,Personal,Offer 1-2,Indirect,Normal Car
AO98601,Washington,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
SK67821,Oregon,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 3-4,Indirect,Normal Car
YV55495,Arizona,No,Basic,High School or Below,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
KY38074,California,No,Premium,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
DM79012,Oregon,No,Extended,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
CM61827,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
WC35801,Arizona,No,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
QG25316,Nevada,No,Basic,High School or Below,Unemployed,Suburban,Corporate,Offer 3-4,Indirect,Normal Car
MB98372,Oregon,Yes,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 1-2,Direct,Normal Car
IL19217,California,Yes,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
SR38658,Arizona,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Direct,Medium-Class Car
DH41343,Washington,No,Basic,Bachelor or College,Employed,Suburban,Special,Offer 1-2,Indirect,Normal Car
HG65722,Oregon,No,Premium,Doctor or Master,Other status,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
BU27331,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
XM45289,Oregon,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
KP34198,California,No,Extended,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
SH90947,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
WE95729,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
PY51963,California,Yes,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Indirect,Medium-Class Car
RB69909,Nevada,No,Basic,High School or Below,Employed,Rural,Special,Offer 3-4,Direct,Normal Car
XR95069,Washington,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
FR46645,California,No,Premium,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
SY17488,Arizona,No,Extended,Bachelor or College,Employed,Suburban,Corporate,Offer 3-4,Indirect,Normal Car
AP67935,California,No,Basic,Bachelor or College,Employed,Urban,Special,Offer 1-2,Direct,Normal Car
FS37417,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
ML29312,Oregon,No,Extended,High School or Below,Other status,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
UB61619,Oregon,No,Premium,Doctor or Master,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
CD86811,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
RU83859,California,No,Premium,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
FG63582,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
NN71951,California,No,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
WB37082,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
SM52139,Washington,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
FL82372,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
DP45816,Arizona,No,Extended,High School or Below,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
GW33762,Oregon,Yes,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
RZ33670,California,No,Premium,Bachelor or College,Other status,Suburban,Personal,Offer 3-4,Indirect,Normal Car
PY70169,Oregon,No,Basic,High School or Below,Employed,Rural,Personal,Offer 3-4,Direct,Medium-Class Car
MO91628,Oregon,No,Basic,Doctor or Master,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
HW87852,Oregon,No,Basic,Doctor or Master,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
HB20453,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
BN87372,Oregon,Yes,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
YX23800,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
DZ87709,Oregon,No,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
XW13033,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
LN31673,Washington,No,Extended,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
OM82309,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Luxury Car
ZU35962,California,No,Extended,Bachelor or College,Unemployed,Rural,Personal,Offer 3-4,Direct,Normal Car
VH85817,California,Yes,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
DT85712,California,No,Basic,Doctor or Master,Employed,Suburban,Personal,Offer 3-4,Direct,Medium-Class Car
YJ88573,Nevada,No,Basic,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
SQ19467,Oregon,No,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
HF88410,Washington,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
ET79815,California,Yes,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
QC35222,California,No,Basic,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Indirect,Normal Car
CJ15590,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
OI48267,California,Yes,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
JY67916,Oregon,No,Premium,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
OE75231,Washington,Yes,Extended,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
CZ33664,Oregon,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 1-2,Direct,Normal Car
WK30175,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
ON44465,California,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
TV87155,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
KH48895,Arizona,No,Basic,Doctor or Master,Other status,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
NZ30757,California,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
RI22468,Arizona,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Indirect,Normal Car
FZ30935,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
UG93476,California,Yes,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
AB96670,California,Yes,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
XK64261,Oregon,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 3-4,Indirect,Normal Car
EV68375,California,Yes,Premium,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
UN51653,California,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
TO96662,Oregon,No,Extended,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
MR52087,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
DE75225,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
EP80820,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
GU99037,Oregon,No,Basic,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Direct,Normal Car
WI57118,California,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
YQ74870,Washington,No,Extended,High School or Below,Employed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
MQ14219,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
KN20603,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
CR48975,Washington,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
JI70886,California,No,Basic,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
VF72557,Oregon,Yes,Extended,High School or Below,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
OX28638,Arizona,No,Extended,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
SK55033,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
OO88645,California,No,Extended,Bachelor or College,Employed,Urban,Corporate,Offer 1-2,Indirect,Normal Car
YT36855,Washington,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
CW82151,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Medium-Class Car
DY22043,Oregon,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
SH36774,California,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Indirect,Luxury Car
EM43724,Nevada,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
FH85960,Oregon,No,Premium,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
XA55993,Oregon,No,Extended,Doctor or Master,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
GO36627,Arizona,No,Extended,Bachelor or College,Employed,Urban,Special,Offer 1-2,Direct,Normal Car
QH48047,Oregon,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
RB50392,Washington,No,Basic,Doctor or Master,Unemployed,Rural,Personal,Offer 1-2,Direct,Normal Car
UH65059,Arizona,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
FV21968,Nevada,No,Basic,Bachelor or College,Employed,Rural,Special,Offer 1-2,Direct,Normal Car
QA87025,Oregon,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
TQ13499,Arizona,No,Premium,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
BU44523,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
MS41162,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
PU25891,Oregon,No,Basic,High School or Below,Employed,Rural,Special,Offer 1-2,Direct,Medium-Class Car
RB81636,Washington,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
SX26335,Oregon,No,Extended,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
AZ95587,Arizona,No,Extended,Bachelor or College,Employed,Urban,Special,Offer 3-4,Direct,Normal Car
DS81757,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
OJ94107,Arizona,No,Premium,Doctor or Master,Employed,Urban,Personal,Offer 1-2,Indirect,Medium-Class Car
LP84436,California,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Direct,Medium-Class Car
YV64727,Washington,No,Premium,High School or Below,Employed,Suburban,Corporate,Offer 3-4,Direct,Medium-Class Car
LM19287,Oregon,Yes,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
ZU18643,Nevada,No,Extended,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Indirect,Normal Car
AZ82578,California,No,Basic,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
XC67861,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
YC43143,Arizona,No,Extended,High School or Below,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
EK59571,Oregon,Yes,Premium,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
GD83998,Washington,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
WA25797,Washington,Yes,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
PD27940,Arizona,No,Extended,High School or Below,Other status,Suburban,Personal,Offer 3-4,Direct,Medium-Class Car
BS77946,Arizona,No,Extended,Bachelor or College,Other status,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
YM50253,California,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
NR15332,California,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
RC62865,Oregon,No,Extended,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
CC15295,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
KA61892,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
OS94884,Arizona,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
ND87334,California,No,Basic,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
ML93326,Washington,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Medium-Class Car
YL74911,California,Yes,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
JP69864,Washington,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
HL53154,California,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
RI78966,Oregon,No,Basic,Doctor or Master,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
IC13702,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
BE10809,California,Yes,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
HT87217,Oregon,No,Extended,High School or Below,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
TH95618,California,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
TS19868,California,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 3-4,Direct,Normal Car
LP45550,Oregon,No,Premium,Doctor or Master,Other status,Urban,Personal,Offer 1-2,Direct,Normal Car
QR87004,Nevada,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
OE75747,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
DX91392,California,Yes,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
AB72731,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Medium-Class Car
RU49126,Washington,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
IS12901,Arizona,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
IX37561,Washington,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
HH90090,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
IU25463,California,No,Premium,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
KC11055,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Luxury Car
PD33979,Oregon,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
NK71023,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
AB13432,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
OZ97704,California,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Indirect,Medium-Class Car
UF46533,California,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
XP47431,Arizona,Yes,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
GK73582,California,No,Extended,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
RV98763,Oregon,No,Extended,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
II62831,California,No,Basic,Doctor or Master,Employed,Urban,Special,Offer 3-4,Indirect,Medium-Class Car
XK33449,California,No,Basic,High School or Below,Unemployed,Suburban,Special,Offer 3-4,Direct,Normal Car
TR85083,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
EO95328,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
EN21086,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
YL83902,Washington,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
AZ62651,Oregon,No,Premium,High School or Below,Employed,Suburban,Corporate,Offer 3-4,Indirect,Luxury Car
ZW25874,Oregon,No,Basic,Bachelor or College,Employed,Rural,Special,Offer 1-2,Direct,Normal Car
EH41854,Washington,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
MW70227,California,Yes,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
SL22297,California,No,Premium,Doctor or Master,Other status,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
RV14138,Nevada,Yes,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
UO62808,Arizona,No,Basic,High School or Below,Employed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
ZX64745,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
FL34139,California,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
TS11219,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
XX12304,California,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
SD64087,California,No,Premium,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
OY38576,Oregon,No,Basic,High School or Below,Employed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
BG76355,Washington,No,Extended,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Indirect,Normal Car
IP66913,California,No,Extended,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
LE95702,California,Yes,Basic,Bachelor or College,Other status,Suburban,Special,Offer 1-2,Direct,Normal Car
KX54357,Washington,No,Extended,Bachelor or College,Employed,Urban,Corporate,Offer 1-2,Indirect,Normal Car
EZ78112,California,No,Basic,High School or Below,Employed,Urban,Special,Offer 1-2,Direct,Normal Car
XN16891,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
XK31350,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Corporate,Offer 3-4,Indirect,Normal Car
CC30924,Oregon,No,Premium,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Direct,Medium-Class Car
IT78748,Oregon,Yes,Extended,High School or Below,Other status,Suburban,Special,Offer 1-2,Direct,Normal Car
KY33386,Washington,Yes,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
CO44221,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
LK60013,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
DE21533,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
YS94121,Nevada,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
UK68427,Washington,Yes,Extended,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
TE49565,Oregon,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
RA88421,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
KQ51983,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
CD88896,Nevada,Yes,Basic,High School or Below,Employed,Rural,Corporate,Offer 1-2,Direct,Normal Car
YV22553,Arizona,No,Basic,High School or Below,Employed,Urban,Corporate,Offer 1-2,Direct,Medium-Class Car
WU14435,California,No,Basic,Bachelor or College,Other status,Suburban,Corporate,Offer 1-2,Direct,Normal Car
XV84099,Arizona,Yes,Basic,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
RI24911,Arizona,Yes,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
KO26461,Arizona,No,Extended,High School or Below,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
HI14283,Oregon,No,Premium,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
PT50227,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
BH36570,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
TX17484,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
CT41158,Washington,No,Extended,Bachelor or College,Employed,Urban,Corporate,Offer 1-2,Direct,Medium-Class Car
AO87348,Washington,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
DE55857,Washington,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
LF66923,Nevada,No,Basic,High School or Below,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
CN24514,Arizona,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
UW32074,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
HP36979,California,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
PP40919,California,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
RO73268,California,No,Extended,Bachelor or College,Other status,Suburban,Corporate,Offer 3-4,Direct,Normal Car
HO61691,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
BS13062,Arizona,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
FO35655,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Luxury Car
HR10526,California,No,Basic,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
IA63417,Arizona,No,Premium,High School or Below,Other status,Suburban,Personal,Offer 3-4,Indirect,Normal Car
BH35016,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
